time,distance,gaze
2.924578,14.18086,0.555928
2.926346,14.18086,0.555928
2.928165,14.18086,0.555928
2.930245,14.18086,0.555928
2.932284,14.18086,0.555928
2.934203,14.18086,0.555928
2.936085,14.18086,0.555928
2.938041,14.18086,0.555928
2.93993,14.18086,0.555928
2.941779,14.18086,0.555928
2.9438,14.18086,0.555928
2.945718,14.18086,0.555928
2.94778,14.18086,0.555928
2.949861,14.18086,0.555928
2.951812,14.18086,0.555928
2.953665,14.18086,0.555928
2.955621,14.18086,0.555928
2.957479,14.18086,0.555928
2.959409,14.18086,0.555928
2.961228,14.18086,0.555928
2.963504,14.18086,0.555928
2.965626,14.18086,0.555928
2.967735,14.18086,0.555928
2.969682,14.18086,0.555928
2.971569,14.18086,0.555928
2.973839,14.18086,0.554952
2.976155,14.18086,0.553
2.978672,14.18086,0.550067
2.981192,14.18086,0.548109
2.983724,14.18086,0.542688
2.986092,14.18086,0.539227
2.988765,14.18086,0.5338
2.991153,14.18086,0.528368
2.993655,14.18086,0.520957
2.996006,14.18086,0.515513
2.998672,14.18086,0.507092
3.000944,14.18086,0.500643
3.003634,14.18086,0.491199
3.005926,14.18086,0.484731
3.008354,14.18086,0.47778
3.010798,14.18086,0.467828
3.013118,14.18086,0.459873
3.015831,14.18086,0.448907
3.018252,14.18086,0.440946
3.020693,14.18086,0.429508
3.023365,14.18086,0.42109
3.025746,14.18086,0.408194
3.028254,14.18086,0.399228
3.030873,14.18086,0.385893
3.033355,14.18086,0.376932
3.035778,14.18086,0.362606
3.03795,14.18086,0.353211
3.039983,14.18086,0.342811
3.04208,14.18086,0.333425
3.044791,14.18086,0.319144
3.048039,14.18086,0.303285
3.050671,14.18086,0.288026
3.053106,14.18086,0.278678
3.055419,14.18086,0.263452
3.05758,14.18086,0.252704
3.059892,14.18086,0.242377
3.062064,14.18086,0.232057
3.064717,14.18086,0.216904
3.066939,14.18086,0.20661
3.069158,14.18086,0.196325
3.071501,14.18086,0.181617
3.073685,14.18086,0.171357
3.075758,14.18086,0.162122
3.078066,14.18086,0.152898
3.080548,14.18086,0.138255
3.083058,14.18086,0.127686
3.085268,14.18086,0.118866
3.087697,14.18086,0.105295
3.089841,14.18086,0.096146
3.09216,14.18086,0.087355
3.094687,14.18086,0.073843
3.097235,14.18086,0.066085
3.099725,14.18086,0.053955
3.101845,14.18086,0.045203
3.104436,14.18086,0.038484
3.106851,14.18086,0.026708
3.109114,14.18086,0.018993
3.111508,14.18086,0.009259
3.114137,14.18086,0.002874
3.116585,14.18086,0
3.118901,14.18086,0
3.121068,14.18086,0
3.123589,14.18086,0
3.125825,14.18086,0
3.128055,14.18086,0
3.130816,14.18086,0
3.133284,14.18086,0
3.13585,14.18086,0
3.138138,14.18086,0
3.140563,14.18086,0
3.142991,14.18086,0
3.145469,14.18086,0
3.148362,14.18086,0
3.150786,14.18086,0
3.15308,14.18086,0
3.155279,14.18086,0
3.157737,14.18086,0
3.160122,14.18086,0
3.163009,14.18086,0
3.16565,14.18086,0
3.16792,14.18086,0
3.170027,14.18086,0
3.172149,14.18086,0
3.174666,14.18086,0
3.177186,14.18086,0
3.180196,14.18086,0
3.183168,14.18086,0
3.185843,14.18086,0
3.188054,14.18086,0
3.190428,14.18086,0
3.192674,14.18086,0
3.194788,14.18086,0
3.19702,14.18086,0
3.199652,14.18086,0
3.201887,14.18086,0
3.204391,14.18086,0
3.206694,14.18086,0
3.208999,14.18086,0
3.21126,14.18086,0
3.213651,14.18086,0
3.215929,14.18086,0
3.218107,14.18086,0
3.220736,14.18086,0
3.223413,14.18086,0
3.225687,14.18086,0
3.227779,14.18086,0
3.230115,14.18086,0
3.232844,14.18086,0
3.235072,14.18086,0
3.237293,14.18086,0
3.239658,14.18086,0
3.241877,14.18086,0
3.244475,14.18086,0
3.246619,14.18086,0
3.248878,14.18086,0
3.251091,14.18086,0
3.253698,14.18086,0
3.255883,14.18086,0
3.258026,14.18086,0
3.260158,14.18086,0
3.262743,14.18086,0
3.265068,14.18086,0
3.267274,14.18086,0
3.269764,14.18086,0
3.272004,14.18086,0
3.274104,14.18086,0
3.276247,14.18086,0
3.278564,14.18086,0
3.280877,14.18086,0
3.283546,14.18086,0
3.285859,14.18086,0
3.287995,14.18086,0
3.290311,14.18086,0
3.292763,14.18086,0
3.294898,14.18086,0
3.297152,14.18086,0
3.299765,14.18086,0
3.301974,14.18086,0
3.304574,14.18086,0
3.306828,14.18086,0
3.308899,14.18086,0
3.310876,14.18086,0
3.313409,14.18086,0
3.315838,14.18086,0
3.318091,14.18086,0
3.32006,14.18086,0
3.322728,14.18086,0
3.324675,14.18086,0
3.326845,14.18086,0
3.329254,14.18086,0
3.331522,14.18086,0
3.333489,14.18086,0
3.335578,14.18086,0
3.337826,14.18086,0
3.339808,14.18086,0
3.341869,14.18086,0
3.344354,14.18086,0
3.346805,14.18086,0
3.349116,14.18086,0
3.351282,14.18086,0
3.353652,14.18086,0
3.355806,14.18086,0
3.35805,14.18086,0
3.360296,14.18086,0
3.362855,14.18086,0
3.365679,14.18086,0
3.367925,14.18086,0
3.37005,14.18086,0
3.37217,14.18086,0
3.374711,14.18086,0
3.376994,14.18086,0
3.379826,14.18086,0
3.382402,14.18086,0
3.384946,14.18086,0
3.387149,14.18086,0
3.389425,14.18086,0
3.39175,14.18086,0
3.393936,14.18086,0
3.396173,14.18086,0
3.398771,14.18086,0
3.401008,14.18086,0
3.403586,14.18086,0
3.405859,14.18086,0
3.408156,14.18086,0
3.410251,14.18086,0
3.412782,14.18086,0
3.415146,14.18086,0
3.417693,14.18086,0
3.419711,14.18086,0
3.421897,14.18086,0
3.424166,14.18086,0
3.426912,14.18086,0
3.429389,14.18086,0
3.4319,14.18086,0
3.434082,14.18086,0
3.436271,14.18086,0
3.438596,14.18086,0
3.441001,14.18086,0
3.443511,14.18086,0
3.445894,14.18086,0
3.448426,14.18086,0
3.450769,14.18086,0
3.452935,14.18086,0
3.455057,14.18086,0
3.457462,14.18086,0
3.459881,14.18086,0
3.462484,14.18086,0
3.465371,14.18086,0
3.46772,14.18086,0
3.470052,14.18086,0
3.472638,14.18086,0
3.474944,14.18086,0
3.477277,14.18086,0
3.479734,14.18086,0
3.482239,14.18086,0
3.484764,14.18086,0
3.487007,14.18086,0
3.489433,14.18086,0
3.491744,14.18086,0
3.494064,14.18086,0
3.496885,14.18086,0
3.499658,14.18086,0
3.501842,14.18086,0
3.504436,14.18086,0
3.506796,14.18086,0
3.509287,14.18086,0
3.511725,14.18086,0
3.51463,14.18086,0
3.516907,14.18086,0
3.519097,14.18086,0
3.521674,14.18086,0
3.524371,14.18086,0
3.52673,14.18086,0
3.529012,14.18086,0
3.531594,14.18086,0
3.534026,14.18086,0
3.536364,14.18086,0
3.538741,14.18086,0
3.540991,14.18086,0
3.543692,14.18086,0
3.546068,14.18086,0
3.548812,14.18086,0
3.551149,14.18086,0
3.55369,14.18086,0
3.556065,14.18086,0
3.558672,14.18086,0
3.560966,14.18086,0
3.563712,14.18086,0
3.566164,14.18086,0
3.568608,14.18086,0
3.570882,14.18086,0
3.573082,14.18086,0
3.57539,14.18086,0
3.577704,14.18086,0
3.580852,14.18086,0
3.583933,14.18086,0
3.586212,14.18086,0
3.588896,14.18086,0
3.591163,14.18086,0
3.593638,14.18086,0
3.596073,14.18086,0
3.59872,14.18086,0
3.601006,14.18086,0
3.603875,14.18086,0
3.606279,14.18086,0
3.608733,14.18086,0
3.611027,14.18086,0
3.613754,14.18086,0
3.61608,14.18086,0
3.618554,14.18086,0
3.62076,14.18086,0
3.623492,14.18086,0
3.625788,14.18086,0
3.628016,14.18086,0
3.630755,14.18086,0
3.633174,14.18086,0
3.635708,14.18086,0
3.638008,14.18086,0
3.6403,14.18086,0
3.64285,14.18086,0
3.645077,14.18086,0
3.64781,14.18086,0
3.65025,14.18086,0
3.65271,14.18086,0
3.654981,14.18086,0
3.657391,14.18086,0
3.659832,14.18086,0
3.662185,14.18086,0
3.664883,14.18086,0
3.66725,14.18086,0
3.669593,14.18086,0
3.671903,14.18086,0
3.673923,14.18086,0
3.675889,14.18086,0
3.678148,14.18086,0
3.680608,14.18086,0
3.682929,14.18086,0
3.684914,14.18086,0
3.686917,14.18086,0
3.688926,14.18086,0
3.690916,14.18086,0
3.692904,14.18086,0
3.694848,14.18086,0
3.697183,14.18086,0
3.699634,14.18086,0
3.701683,14.18086,0
3.70391,14.18086,0
3.705938,14.18086,0
3.707967,14.18086,0
3.710028,14.18086,0
3.712148,14.18086,0
3.714532,14.18086,0
3.716619,14.18086,0
3.718901,14.18086,0
3.721257,14.18086,0
3.723851,14.18086,0
3.726244,14.18086,0
3.728694,14.18086,0
3.731454,14.18086,0
3.733617,14.18086,0
3.735984,14.18086,0
3.738386,14.18086,0.003142
3.740484,14.18086,0.008899
3.742713,14.18086,0.012319
3.744663,14.18086,0.016812
3.746834,14.18086,0.020244
3.749182,14.18086,0.02475
3.751445,14.18086,0.029774
3.753466,14.18086,0.032942
3.755712,14.18086,0.038537
3.757824,14.18086,0.041713
3.760116,14.18086,0.045169
3.762811,14.18086,0.051291
3.765606,14.18086,0.056341
3.767726,14.18086,0.060596
3.769856,14.18086,0.063261
3.772265,14.18086,0.068589
3.774411,14.18086,0.074427
3.776651,14.18086,0.079747
3.779096,14.18086,0.082913
3.781807,14.18086,0.087937
3.784288,14.18086,0.09109
3.786733,14.18086,0.096879
3.788832,14.18086,0.099722
3.790893,14.18086,0.102845
3.792893,14.18086,0.106735
3.795081,14.18086,0.109835
3.7975,14.18086,0.115231
3.799676,14.18086,0.117996
3.801815,14.18086,0.121807
3.804073,14.18086,0.124533
3.806418,14.18086,0.126176
3.808629,14.18086,0.131412
3.81077,14.18086,0.133744
3.813126,14.18086,0.135312
3.815491,14.18086,0.140815
3.817636,14.18086,0.143365
3.81989,14.18086,0.145552
3.8219,14.18086,0.148041
3.824253,14.18086,0.150156
3.826383,14.18086,0.152219
3.828595,14.18086,0.154236
3.830965,14.18086,0.156209
3.833543,14.18086,0.158431
3.835941,14.18086,0.1603
